Date,Open,High,Low,Close,Adj Close,Volume
2019-09-20,10900.000000,11150.000000,10800.000000,10925.000000,10925.000000,992500
2019-09-23,10925.000000,11075.000000,10675.000000,10800.000000,10800.000000,252700
2019-09-24,10800.000000,10825.000000,10400.000000,10425.000000,10425.000000,587200
2019-09-25,10400.000000,10750.000000,10350.000000,10700.000000,10700.000000,539600
2019-09-26,10700.000000,10800.000000,10500.000000,10750.000000,10750.000000,477200
2019-09-27,10750.000000,10850.000000,10550.000000,10550.000000,10550.000000,132200
2019-09-30,10550.000000,10775.000000,10550.000000,10775.000000,10775.000000,205600
2019-10-01,10725.000000,11100.000000,10675.000000,10975.000000,10975.000000,1220200
2019-10-02,11000.000000,11100.000000,10825.000000,10975.000000,10975.000000,879500
2019-10-03,10800.000000,10975.000000,10750.000000,10975.000000,10975.000000,317000
2019-10-04,10950.000000,10950.000000,10700.000000,10750.000000,10750.000000,317700
2019-10-07,10800.000000,10875.000000,10700.000000,10725.000000,10725.000000,60400
2019-10-08,10725.000000,10950.000000,10625.000000,10750.000000,10750.000000,416400
2019-10-09,10900.000000,10925.000000,10650.000000,10925.000000,10925.000000,447200
2019-10-10,10950.000000,11000.000000,10725.000000,10875.000000,10875.000000,235000
2019-10-11,10875.000000,10875.000000,10725.000000,10725.000000,10725.000000,230800
2019-10-14,10900.000000,10925.000000,10650.000000,10650.000000,10650.000000,227500
2019-10-15,10675.000000,10800.000000,10500.000000,10600.000000,10600.000000,385200
2019-10-16,10625.000000,10750.000000,10500.000000,10500.000000,10500.000000,588300
2019-10-17,10625.000000,10775.000000,10550.000000,10575.000000,10575.000000,329600
2019-10-18,10600.000000,10625.000000,10150.000000,10150.000000,10150.000000,793400
2019-10-21,10250.000000,10425.000000,10200.000000,10300.000000,10300.000000,564800
2019-10-22,10325.000000,10500.000000,10275.000000,10400.000000,10400.000000,638600
2019-10-23,10450.000000,10900.000000,10400.000000,10700.000000,10700.000000,1551700
2019-10-24,10800.000000,11125.000000,10625.000000,11000.000000,11000.000000,1230200
2019-10-25,11200.000000,11300.000000,10875.000000,10900.000000,10900.000000,1513000
2019-10-28,10900.000000,11050.000000,10800.000000,10900.000000,10900.000000,201600
2019-10-29,10925.000000,11175.000000,10850.000000,11125.000000,11125.000000,666500
2019-10-30,11200.000000,11400.000000,11000.000000,11350.000000,11350.000000,1311400
2019-10-31,11350.000000,11625.000000,11250.000000,11425.000000,11425.000000,1553100
2019-11-01,11425.000000,11500.000000,11075.000000,11325.000000,11325.000000,514800
2019-11-04,11400.000000,11700.000000,11300.000000,11700.000000,11700.000000,1267600
2019-11-05,11600.000000,12425.000000,11600.000000,12400.000000,12400.000000,3155600
2019-11-06,12400.000000,12475.000000,12100.000000,12300.000000,12300.000000,1193600
2019-11-07,12250.000000,12500.000000,12225.000000,12300.000000,12300.000000,1060600
2019-11-08,12300.000000,12950.000000,12100.000000,12600.000000,12600.000000,1130500
2019-11-11,12500.000000,12925.000000,12500.000000,12775.000000,12775.000000,1744300
2019-11-12,12875.000000,12900.000000,12500.000000,12825.000000,12825.000000,1311800
2019-11-13,12750.000000,12750.000000,12225.000000,12400.000000,12400.000000,1277700
2019-11-14,12400.000000,12425.000000,11975.000000,12250.000000,12250.000000,1884700
2019-11-15,12350.000000,12425.000000,12000.000000,12200.000000,12200.000000,812400
2019-11-18,12200.000000,12450.000000,11975.000000,12425.000000,12425.000000,499500
2019-11-19,12425.000000,12625.000000,12225.000000,12600.000000,12600.000000,612200
2019-11-20,12600.000000,13125.000000,12450.000000,13000.000000,13000.000000,1641200
2019-11-21,13025.000000,13275.000000,12750.000000,13000.000000,13000.000000,1777000
2019-11-22,13000.000000,13175.000000,12950.000000,13125.000000,13125.000000,889700
2019-11-25,13300.000000,13400.000000,13050.000000,13200.000000,13200.000000,1015900
2019-11-26,13200.000000,13200.000000,12700.000000,13000.000000,13000.000000,714000
2019-11-27,12900.000000,12900.000000,12025.000000,12125.000000,12125.000000,1058100
2019-11-28,12125.000000,12375.000000,12125.000000,12275.000000,12275.000000,430500
2019-11-29,12350.000000,12600.000000,12325.000000,12600.000000,12600.000000,1472300
2019-12-02,12625.000000,12825.000000,12575.000000,12800.000000,12800.000000,674400
2019-12-03,12800.000000,12825.000000,12675.000000,12825.000000,12825.000000,653100
2019-12-04,12775.000000,12850.000000,12450.000000,12775.000000,12775.000000,612800
2019-12-05,12800.000000,13075.000000,12750.000000,13050.000000,13050.000000,647600
2019-12-06,13100.000000,13575.000000,13100.000000,13575.000000,13575.000000,1663200
2019-12-09,13625.000000,13800.000000,13575.000000,13700.000000,13700.000000,1361600
2019-12-10,13675.000000,13750.000000,13100.000000,13500.000000,13500.000000,1797100
2019-12-11,13450.000000,13500.000000,13275.000000,13325.000000,13325.000000,626400
2019-12-12,13300.000000,13475.000000,13125.000000,13250.000000,13250.000000,865100
2019-12-13,13250.000000,13625.000000,13250.000000,13425.000000,13425.000000,441900
2019-12-16,13425.000000,13500.000000,13175.000000,13400.000000,13400.000000,782400
2019-12-17,13400.000000,13675.000000,13400.000000,13600.000000,13600.000000,873700
2019-12-18,13600.000000,13675.000000,13525.000000,13550.000000,13550.000000,696000
2019-12-19,13550.000000,13550.000000,13300.000000,13300.000000,13300.000000,537700
2019-12-20,13300.000000,13525.000000,13100.000000,13525.000000,13525.000000,438000
2019-12-23,13575.000000,13625.000000,13525.000000,13600.000000,13600.000000,837700
2019-12-26,13600.000000,14200.000000,13575.000000,14100.000000,14100.000000,2010500
2019-12-27,14100.000000,14525.000000,14100.000000,14500.000000,14500.000000,2557800
2019-12-30,14500.000000,14675.000000,14300.000000,14575.000000,14575.000000,1202700
2020-01-02,14550.000000,14650.000000,14025.000000,14025.000000,14025.000000,799000
2020-01-03,14100.000000,14450.000000,14025.000000,14100.000000,14100.000000,1282400
2020-01-06,14100.000000,14100.000000,13500.000000,13500.000000,13500.000000,1109400
2020-01-07,13500.000000,13750.000000,13225.000000,13400.000000,13400.000000,1397200
2020-01-08,13400.000000,13400.000000,13200.000000,13325.000000,13325.000000,863000
